2025-07-16 13:40:14,517 [INFO] Connecting to 149.154.167.51:443/TcpFull...
2025-07-16 13:40:16,370 [INFO] Connection to 149.154.167.51:443/TcpFull complete!
2025-07-16 13:40:35,399 [INFO] Phone migrated to 4
2025-07-16 13:40:35,599 [INFO] Reconnecting to new data center 4
2025-07-16 13:40:35,766 [INFO] Disconnecting from 149.154.167.51:443/TcpFull...
2025-07-16 13:40:35,767 [INFO] Disconnection from 149.154.167.51:443/TcpFull complete!
2025-07-16 13:40:35,767 [INFO] Connecting to 149.154.167.92:443/TcpFull...
2025-07-16 13:40:37,528 [INFO] Connection to 149.154.167.92:443/TcpFull complete!
2025-07-16 13:41:26,287 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:41:26,563 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:41:27,071 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:41:27,494 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:41:27,805 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:41:28,237 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:41:28,683 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:41:28,925 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:41:29,369 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:41:29,653 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:41:30,113 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:41:30,430 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:41:30,645 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:41:31,316 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:41:31,634 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:41:32,060 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:41:32,289 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
